title,startDate,endDate,classificationName,venue,description,image,url
Open Mic Night Thurs 9pm,2025-08-14T21:00:00Z,2025-10-30T21:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","Open Mic Night is held in The Green Room Bar Thursday Night's from 9:00pm to 10:00pm
*AFTER THE MAIN 7:00pm SHOW IS FINISHED*

FOR CUSTOMERS:
1) No reservations are needed. It is a causal atmosphere in the Bar from 9:00pm to 10:00pm.
2) There is no admission cost+no drink minimum.
3) Guests must be at least 18 years old with a valid ID to enter.

FOR COMICS:
1) Signing up for Open Mic is done via email.
2) Click the Contact Us on this page +send in your info. Or email Johnny Hobbs
johnny@mccurdyscomedy.com
3) Bookings are done in advance. Open Mic performers are allocated 5 minutes.
4) All performers must be at least 18 years old with a valid ID to enter.
5) There is no admission cost+no drink minimum.",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Mike Paramore,2025-09-10T19:00:00Z,2025-09-14T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","Mike Paramore has performed at the Just for Laughs Festival, Cleveland Comedy Festival, winner of Laughing Devil Festival in NYC, winner of the Laugh Fest's best in the midwest competition, winner of Best of the Fest Big Pine Comedy Festival and was a featured on AXTV's Live at Gotham in NYC, and is a featured comedian on FOX's hit show ""Laughs""",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Jason Salmon,2025-09-18T18:30:00Z,2025-09-21T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","While being featured in Red Dead Redemption 2, Orange is the New Black, Wu Tang, Amy Sedaris, 30 Rock, and on Comedy Central, Jason has headlined throughout the US & the world including multiple tours performing for the US troops in Europe & Afghanistan

Jason's standup Album ""Force of Nurture"" debuted at #1 on iTunes & is available wherever you listen to comedy.
His upcoming comedy special, ""Biscuits & Gravity""will is set for release in early 2023.

His Texas born & NYC based clean comedy has been described as, ""...like getting the best advice you've ever gotten...from the dumbest guy you know.""",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Bear Webb,2025-09-25T18:30:00Z,2025-09-27T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","If you a looking for a mixture of Ron White and Sam Kinison then look no further than Bear Webb! Florida’s Funniest Female brings laughter to the stage like no other.

Just wrapping up her “Open Bar” comedy special: “ It’s Not A Mullet”, Bear’s comedy ranges from her lifestyle to being a public school teacher for over 30 years. There is nothing off limits!! Opening for such greats as Louie Anderson, Rosie O’Donnell, Bobcat Goldthwait, Bill Bellamy, Tommy Davidson, Judy Gold, Suzanne Westenhoefer, Lynne Kolplitz, Tammy Pescatelli, and Judy Tenuta. Bear brings the funny to all. Come on “OUT”…Bear did!!!",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Mason James,2025-10-09T18:30:00Z,2025-10-12T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","Mason James brings a quick, clever, self-deprecating humor that will keep you laughing all night! A regular at the Comedy Mothership in Austin, Texas, founded by Comedian Joe Rogan, Mason is definitely the Comic to watch and is well on his way to becoming the next big thing.

In 2023 he won the Funniest Person in Houston Competition and has accumulated a huge following on social media as well as racking up over 20 million views on his videos.",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Greg Hahn,2025-11-05T18:30:00Z,2025-11-08T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","Greg Hahn is a favorite on the nationally syndicated Bob and Tom Radio Show. He costarred in the film Tomorrow Night which premiered at the Sundance Film Festival and after successful shows at the Montreal and Chicago Comedy Festivals, Greg enjoyed television appearances on Late Night with Conan O’Brien (NBC), Premium Blend (Comedy Central), Make Me Laugh (5 episodes, Comedy Central), Louis CK’s Pulp Comics (Comedy Central), 30 Seconds to Fame (Fox), Cedric the Entertainer Presents (Fox) and Star Search (CBS).

Credits also include appearances on Country Music Television’s “Comedy Stage”, “Comics Unleashed with Byron Allen” and running for president on “TOSH.O” (Comedy Central) which have added to Greg’s popularity.",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Carmen Ciricillo,2025-11-20T18:30:00Z,2025-11-23T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","Carmen Ciricillo's 25 years of marriage and raising kids has given him all the material he needs to be a comedian.
He is a domesticated man with many issues that most guys just don't talk about...especially to strangers.
CARMEN HAS AMASSED AN IMPRESSIVE SOCIAL MEDIA FOLLOWING OF OVER 300,000 FOLLOWERS ACROSS HIS FACEBOOK, YOUTUBE, TIK TOK & INSTAGRAM.
WHEN HE’S NOT ON THE ROAD, YOU CAN CATCH HIM RECORDING HIS PODCAST - “THE CARMEN CIRICILLO SHOW”",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Dale Jones,2026-01-07T16:30:00Z,2026-01-11T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","In addition to his training at the world famous Second City Dale has several viral videos on TikTok+credits include…. TBS - The Very Funny Show, Last Comic Standing, 30 Seconds to Fame, Stand Up Live Nashville seasons 1 and 2, MGM movie ""Out Of Time"" with Denzel Washington. His album ""I'm Not Well"" debuted in the top three on iTunes and Amazon.
Dale accentuates his rapid style delivery and combines that with quick improvisations and well placed physical comedy for a performance you will NEVER forget!",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Jeff Dye,2026-02-13T18:30:00Z,2026-02-13T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","Jeff Dye isn't here to play nice, he's here to wreck polite conversation and leave audiences howling. A regular on Gutfeld! and The Joe Rogan Experience, he delivers comedy that's loud, sharp, and hilariously inappropriate.

He conned America on MTV's Money From Strangers, globe-hopped with legends on NBC's Better Late Than Never, and somehow kept a straight face while cracking jokes on The Tonight Show. Jeff's not chasing clout - he's chasing truth, mic in hand, and not looking back.",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
Bob Marley,2026-03-13T18:30:00Z,2026-03-15T22:00:00Z,Comedy,"1923 Ringling Blvd, Sarasota, FL","Many movie fans will recognize him from his appearance in the cult favorite movie, Boondock Saints + the highly anticipated sequel ,All Saints Day. Bob co-stars with Willem Dafoe, Sean Patrick Flanery+Norman Reedus (as the McManus brothers), Billy Connolly (ll Duce), Julie Benz (Rita on Showtime’s ‘Dexter’),brat packer Judd Nelson + film legend Peter Fonda.

TV appearances include just to name a few… the few comics to do the complete late night circuit including The Late Show with David Letterman, The Tonight Show with Jay Leno, Late Night with Conan O’Brien, and The Late Late Show with Craig Ferguson and Craig Kilborn.",https://pwas.sarasotaflguid.com/docs/image/comedy_1_260.jpg,https://www.mccurdyscomedy.com/shows/
